date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:21	5795/5795	---MCZ	200	added ('OK')	text/html	etag:%22052967f0e8381d71942d1fdafe07c85c%22	https://act.hoyolab.com/ys/event/e20240409hoyofair/index.html?game_biz=hk4e_global&hyl_presentation_style=fullscreen&hyl_auth_required=true&hyl_landscape=true&hyl_hide_status_bar=truehttps://hoyo.link/4BEiFBAL?utm_source=sns&utm_medium=twitter	D:/xunleidejianke/xunleidejianke/act.hoyolab.com/ys/event/e20240409hoyofair/index35e3.html	(from )
12:20:23	249/249	---MCZ	404	error ('Not%20Found')	application/xml	date:Wed,%2005%20Jun%202024%2004:20:23%20GMT	https://act.hoyolab.com/robots.txt		(from )
12:20:25	383449/383449	---M--	200	added ('OK')	image/png	etag:%22d55a84a94d4d7669df44d3a8537de128%22	https://fastcdn.hoyoverse.com/static-resource-v2/2024/04/09/d55a84a94d4d7669df44d3a8537de128_4870384193328131694.png	D:/xunleidejianke/xunleidejianke/fastcdn.hoyoverse.com/static-resource-v2/2024/04/09/d55a84a94d4d7669df44d3a8537de128_4870384193328131694.png	(from https://act.hoyolab.com/ys/event/e20240409hoyofair/index.html?game_biz=hk4e_global&hyl_presentation_style=fullscreen&hyl_auth_required=true&hyl_landscape=true&hyl_hide_status_bar=truehttps://hoyo.link/4BEiFBAL?utm_source=sns&utm_medium=twitter)
12:20:28	18803/18803	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f3e0281f9533ed815942e973106f079%22	https://webstatic.hoyoverse.com/dora/biz/mihoyo-event-sentry-sdk/mihoyo-event-sentry-sdk.min.js	D:/xunleidejianke/xunleidejianke/webstatic.hoyoverse.com/dora/biz/mihoyo-event-sentry-sdk/mihoyo-event-sentry-sdk.min.js	(from https://act.hoyolab.com/ys/event/e20240409hoyofair/index.html?game_biz=hk4e_global&hyl_presentation_style=fullscreen&hyl_auth_required=true&hyl_landscape=true&hyl_hide_status_bar=truehttps://hoyo.link/4BEiFBAL?utm_source=sns&utm_medium=twitter)
12:20:28	96874/96874	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e77a0f50d379d38c5911589706c56ab0%22	https://webstatic.hoyoverse.com/dora/lib/sentry/7.52.1/sentry-vue.tracing.es5.min.js	D:/xunleidejianke/xunleidejianke/webstatic.hoyoverse.com/dora/lib/sentry/7.52.1/sentry-vue.tracing.es5.min.js	(from https://act.hoyolab.com/ys/event/e20240409hoyofair/index.html?game_biz=hk4e_global&hyl_presentation_style=fullscreen&hyl_auth_required=true&hyl_landscape=true&hyl_hide_status_bar=truehttps://hoyo.link/4BEiFBAL?utm_source=sns&utm_medium=twitter)
12:20:30	31025/31025	---MCZ	200	added ('OK')	application/javascript	etag:%229bf6cb9703c3160016f974c310cf2afd%22	https://act.hoyolab.com/ys/event/e20240409hoyofair/styles_546cd7b2a89c34836c8f.js	D:/xunleidejianke/xunleidejianke/act.hoyolab.com/ys/event/e20240409hoyofair/styles_546cd7b2a89c34836c8f.js	(from https://act.hoyolab.com/ys/event/e20240409hoyofair/index.html?game_biz=hk4e_global&hyl_presentation_style=fullscreen&hyl_auth_required=true&hyl_landscape=true&hyl_hide_status_bar=truehttps://hoyo.link/4BEiFBAL?utm_source=sns&utm_medium=twitter)
12:20:30	8946683/8946683	---MCZ	200	added ('OK')	application/javascript	etag:%229761d2c1e3333aac9be647702e30d2a0-2%22	https://act.hoyolab.com/ys/event/e20240409hoyofair/vendors_7505397ec03a2bf8ed08.js	D:/xunleidejianke/xunleidejianke/act.hoyolab.com/ys/event/e20240409hoyofair/vendors_7505397ec03a2bf8ed08.js	(from https://act.hoyolab.com/ys/event/e20240409hoyofair/index.html?game_biz=hk4e_global&hyl_presentation_style=fullscreen&hyl_auth_required=true&hyl_landscape=true&hyl_hide_status_bar=truehttps://hoyo.link/4BEiFBAL?utm_source=sns&utm_medium=twitter)
12:20:31	533855/533855	---MCZ	200	added ('OK')	text/css	etag:%220be1bf1a0314d7db9821c15d612bae43%22	https://act.hoyolab.com/ys/event/e20240409hoyofair/styles_7a0c341105bf886443fc.css	D:/xunleidejianke/xunleidejianke/act.hoyolab.com/ys/event/e20240409hoyofair/styles_7a0c341105bf886443fc.css	(from https://act.hoyolab.com/ys/event/e20240409hoyofair/index.html?game_biz=hk4e_global&hyl_presentation_style=fullscreen&hyl_auth_required=true&hyl_landscape=true&hyl_hide_status_bar=truehttps://hoyo.link/4BEiFBAL?utm_source=sns&utm_medium=twitter)
12:20:31	1005657/1005657	---MCZ	200	added ('OK')	application/javascript	etag:%2227e9d4070b9701f9668dae1f64ac51f4%22	https://act.hoyolab.com/ys/event/e20240409hoyofair/index_0e950ddf2a4e4e0b98c6.js	D:/xunleidejianke/xunleidejianke/act.hoyolab.com/ys/event/e20240409hoyofair/index_0e950ddf2a4e4e0b98c6.js	(from https://act.hoyolab.com/ys/event/e20240409hoyofair/index.html?game_biz=hk4e_global&hyl_presentation_style=fullscreen&hyl_auth_required=true&hyl_landscape=true&hyl_hide_status_bar=truehttps://hoyo.link/4BEiFBAL?utm_source=sns&utm_medium=twitter)
12:20:32	75946/75946	---MCZ	200	added ('OK')	application/javascript	etag:W/%22853765cb83e4b82f75e9ceea4ea9e028%22	https://webstatic.hoyoverse.com/dora/lib/vue/2.7.14/vue.runtime.min.js	D:/xunleidejianke/xunleidejianke/webstatic.hoyoverse.com/dora/lib/vue/2.7.14/vue.runtime.min.js	(from https://act.hoyolab.com/ys/event/e20240409hoyofair/index.html?game_biz=hk4e_global&hyl_presentation_style=fullscreen&hyl_auth_required=true&hyl_landscape=true&hyl_hide_status_bar=truehttps://hoyo.link/4BEiFBAL?utm_source=sns&utm_medium=twitter)
